id,nome,descricao,normativa,ordem,idade_correta,etapa_id
1,Berçário,Berçário (0 anos),8,1,0,1
2,Infantil I,Infantil I (1 ano),13,2,1,1
3,Infantil II,Infantil II (2 anos),20,3,2,1
4,Infantil III,Infantil III (3 anos),20,4,3,1
5,Infantil IV,Infantil IV (4 anos),25,5,4,1
6,Infantil V,Infantil V (5 anos),25,6,5,1
7,1º Ano,1º ANO DO ENSINO FUNDAMENTAL ANOS INICIAIS,25,7,6,2
8,2º Ano,2º ANO DO ENSINO FUNDAMENTAL ANOS INICIAIS,30,8,7,2
9,3º Ano,3º ANO DO ENSINO FUNDAMENTAL ANOS INICIAIS,30,9,8,2
10,4º Ano,4º ANO DO ENSINO FUNDAMENTAL ANOS INICIAIS,30,10,9,2
11,5º Ano,5º ANO DO ENSINO FUNDAMENTAL ANOS INICIAIS,30,11,10,2
12,6º Ano,6º ANO DO ENSINO FUNDAMENTAL ANOS FINAIS,35,12,11,3
13,7º Ano,7º ANO DO ENSINO FUNDAMENTAL ANOS FINAIS,35,13,12,3
14,8º Ano,8º ANO DO ENSINO FUNDAMENTAL ANOS FINAIS,40,14,13,3
15,9º Ano,9º ANO DO ENSINO FUNDAMENTAL ANOS FINAIS,40,15,14,3
16,Etapa I,(1º ANO),35,16,NULL,4
17,Etapa II,(2º E 3º ANOS),35,17,NULL,4
18,Etapa III,(4º E 5º ANOS),35,18,NULL,4
19,Etapa IV,(6º E 7º ANOS),40,19,NULL,4
20,Etapa V,(8º E 9º ANOS),40,20,NULL,4
21,Se Liga,NULL,20,21,NULL,5
22,Acelera,NULL,20,22,NULL,5
